x,y,size,color_name,color_hex
0,0,4,"Orange",#FF7700
4,0,4,"Orange",#FF7700
8,0,4,"Orange",#FF7700
12,0,4,"Orange",#FF7700
16,0,4,"Orange",#FF7700
20,0,4,"Orange",#FF7700
24,0,4,"Orange",#FF7700
28,0,4,"Orange",#FF7700
32,0,4,"Orange",#FF7700
36,0,4,"Orange",#FF7700
40,0,4,"Orange",#FF7700
44,0,4,"Orange",#FF7700
48,0,4,"Orange",#FF7700
52,0,4,"Orange",#FF7700
56,0,4,"Orange",#FF7700
60,0,4,"Orange",#FF7700
64,0,4,"Orange",#FF7700
68,0,4,"Orange",#FF7700
72,0,4,"Orange",#FF7700
76,0,4,"Orange",#FF7700
80,0,4,"Orange",#FF7700
84,0,4,"Orange",#FF7700
88,0,4,"Orange",#FF7700
92,0,4,"Orange",#FF7700
96,0,4,"Orange",#FF7700
100,0,4,"Orange",#FF7700
104,0,4,"Orange",#FF7700
108,0,4,"Orange",#FF7700
112,0,4,"Orange",#FF7700
116,0,4,"Orange",#FF7700
120,0,4,"Orange",#FF7700
124,0,2,"Orange",#FF7700
0,1,3,"Orange",#FF7700
3,1,4,"Orange",#FF7700
7,1,4,"Orange",#FF7700
11,1,4,"Orange",#FF7700
15,1,4,"Orange",#FF7700
19,1,4,"Orange",#FF7700
23,1,4,"Orange",#FF7700
27,1,4,"Orange",#FF7700
31,1,4,"Orange",#FF7700
35,1,4,"Orange",#FF7700
39,1,4,"Orange",#FF7700
43,1,4,"Orange",#FF7700
47,1,4,"Orange",#FF7700
51,1,4,"Orange",#FF7700
55,1,4,"Orange",#FF7700
59,1,4,"Orange",#FF7700
63,1,4,"Orange",#FF7700
67,1,4,"Orange",#FF7700
71,1,4,"Orange",#FF7700
75,1,4,"Orange",#FF7700
79,1,4,"Orange",#FF7700
83,1,4,"Orange",#FF7700
87,1,4,"Orange",#FF7700
91,1,4,"Orange",#FF7700
95,1,4,"Orange",#FF7700
99,1,4,"Orange",#FF7700
103,1,4,"Orange",#FF7700
107,1,4,"Orange",#FF7700
111,1,4,"Orange",#FF7700
115,1,4,"Orange",#FF7700
119,1,4,"Orange",#FF7700
123,1,3,"Orange",#FF7700
0,2,4,"Orange",#FF7700
4,2,4,"Orange",#FF7700
8,2,4,"Orange",#FF7700
12,2,4,"Orange",#FF7700
16,2,4,"Orange",#FF7700
20,2,4,"Orange",#FF7700
24,2,4,"Orange",#FF7700
28,2,4,"Orange",#FF7700
32,2,4,"Orange",#FF7700
36,2,4,"Orange",#FF7700
40,2,4,"Orange",#FF7700
44,2,4,"Orange",#FF7700
48,2,4,"Orange",#FF7700
52,2,4,"Orange",#FF7700
56,2,4,"Orange",#FF7700
60,2,4,"Orange",#FF7700
64,2,4,"Orange",#FF7700
68,2,4,"Orange",#FF7700
72,2,4,"Orange",#FF7700
76,2,4,"Orange",#FF7700
80,2,4,"Orange",#FF7700
84,2,4,"Orange",#FF7700
88,2,4,"Orange",#FF7700
92,2,4,"Orange",#FF7700
96,2,4,"Orange",#FF7700
100,2,4,"Orange",#FF7700
104,2,4,"Orange",#FF7700
108,2,4,"Orange",#FF7700
112,2,4,"Orange",#FF7700
116,2,4,"Orange",#FF7700
120,2,4,"Orange",#FF7700
124,2,2,"Orange",#FF7700
0,3,3,"Orange",#FF7700
3,3,4,"Orange",#FF7700
7,3,4,"Orange",#FF7700
11,3,4,"Orange",#FF7700
15,3,4,"Orange",#FF7700
19,3,4,"Orange",#FF7700
23,3,4,"Orange",#FF7700
27,3,4,"Orange",#FF7700
31,3,4,"Orange",#FF7700
